team,pitcher,LU_src,expK,P(K≥6.5)
Cleveland Guardians,Logan Allen,roster,4.05,0.12
Chicago White Sox,Shane Smith,roster,4.06,0.123
Cleveland Guardians,Gavin Williams,roster,4.07,0.121
Chicago White Sox,Jonathan Cannon,roster,4.02,0.118
Miami Marlins,Edward Cabrera,cache,4.08,0.125
Baltimore Orioles,Dean Kremer,cache,4.02,0.119
Chicago Cubs,Chris Flexen,cache,4.01,0.117
New York Yankees,Carlos Rodón,cache,4.04,0.114
Colorado Rockies,Germán Márquez,roster,4.07,0.132
Cincinnati Reds,Chase Burns,cache,4.04,0.115
Seattle Mariners,Luis Castillo,cache,4.01,0.118
Detroit Tigers,Tarik Skubal,roster,4.08,0.118
Tampa Bay Rays,Drew Rasmussen,cache,4.01,0.114
Boston Red Sox,Hunter Dobbins,cache,4.06,0.12
New York Mets,Kodai Senga,cache,4.09,0.123
Kansas City Royals,Michael Wacha,roster,4.04,0.122
Texas Rangers,Jack Leiter,cache,4.01,0.116
Houston Astros,Lance McCullers Jr.,roster,4.03,0.113
Pittsburgh Pirates,Paul Skenes,roster,4.08,0.125
Minnesota Twins,Joe Ryan,cache,4.03,0.119
Washington Nationals,Mitchell Parker,cache,3.99,0.112
Milwaukee Brewers,Quinn Priester,roster,4.06,0.12
Atlanta Braves,Grant Holmes,cache,4.08,0.124
St. Louis Cardinals,Matthew Liberatore,cache,4.07,0.121
Arizona Diamondbacks,Ryne Nelson,cache,4.02,0.126
Los Angeles Angels,Tyler Anderson,cache,3.98,0.113
Philadelphia Phillies,Ranger Suárez,roster,4.04,0.116
San Diego Padres,Ryan Bergert,cache,4.06,0.117
Toronto Blue Jays,Max Scherzer,roster,4.05,0.117
Athletics,Luis Severino,cache,4.02,0.115
Los Angeles Dodgers,Dustin May,roster,4.02,0.119
San Francisco Giants,Logan Webb,roster,4.02,0.112
